title,Author,genre,language,level,pictures
Breathe Like a Bear: 30 Mindful Moments for Kids to Feel Calm and Focused Anytime   Anywhere,Kira Willey,Anywhere   Anytime  ,English,252,TRUE
What to Do When You Worry Too Much: A Kid's Guide to Overcoming Anxiety (What-to-Do Guides for Kids),Dawn Huebner,(What-to-Do   Overcoming,English,588,TRUE
How to Draw Cute Stuff: Draw Anything and Everything in the Cutest Style Ever! (Volume 1),Angela Nguyen,Everything   Anything,English,126,TRUE
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Lift-the-Flap   Dear,English,61,TRUE
My First Toddler Coloring Book: Fun with Numbers   Letters   Shapes   Colors   and Animals! (Kids coloring activity books),Tanya Emelyanova,activity   Coloring,English,33,TRUE
The Complete Baking Book for Young Chefs: 100+ Sweet and Savory Recipes that You'll Love to Bake   Share and Eat!,America's Test Kitchen Kids,Complete   Recipes,English,736,FALSE
Food Network Magazine The Big   Fun Kids Cookbook: 150+ Recipes for Young Chefs (Food Network Magazine's Kids Cookbooks),Food Network Magazine,Cookbooks)   Magazine's,English,696,FALSE
Corduroy (Book and Bear),Don Freeman,Corduroy   (Book,English,288,TRUE
Sight Words and Spelling Workbook for Kids Ages 6-8: Learn to Write and Spell Essential Words | Kindergarten Workbook   1st Grade Workbook and 2nd ... | Reading & Phonics Activities + Worksheets,Modern Kid Press,Kindergarten   Activities,English,490,TRUE
Potty (Leslie Patricelli board books),Leslie Patricelli,Patricelli   (Leslie,English,0,TRUE
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),Dav Pilkey,Underpants   Creator,English,175,TRUE
Snuggle Puppy! (Boynton on Board),Sandra Boynton,(Boynton   Snuggle,English,0,TRUE
The Mitten,Jan Brett,Mitten   The,English,13,TRUE
Unlocked Book 8.5 (Keeper of the Lost Cities),Shannon Messenger,Unlocked   (Keeper,English,304,TRUE
The Hobbit,J. R. R. Tolkien,Hobbit   The,English,1092,FALSE
Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter   Book 3),J.K. Rowling,Illustrated   Prisoner,English,224,TRUE
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Underpants   Creator,English,392,TRUE
BIG Letter Tracing for Preschoolers and Toddlers ages 2-4: Homeschool Preschool Learning Activities for 3 year olds (Big ABC Books),Anastasia Stephen,Preschoolers   Homeschool,English,44,TRUE
How Many Do I Love You: A Valentine Counting Book (Padded Picture Book) (Square Padded Picture Book),Cottage Door Press,Valentine   Counting,English,0,TRUE
The Lightning Thief: Percy Jackson and the Olympians   Book 1,Rick Riordan,Olympians     Lightning,English,550,TRUE
Waiting Is Not Easy! (An Elephant and Piggie Book),Mo Willems,Elephant   Waiting,English,450,TRUE
Paint by Sticker Kids   The Original: Create 10 Pictures One Sticker at a Time! (Kids Activity Book   Sticker Art   No Mess Activity   Keep Kids Busy),Workman Publishing,Activity     Original:,English,160,TRUE
Karen's Worst Day (Baby-sitters Little Sister Graphic Novel #3) (3) (Baby-Sitters Little Sister Graphix),Ann M. Martin,(Baby-Sitters   (Baby-sitters,English,693,FALSE
Love Is: (Illustrated Story Book about Caring for Others   Book About Love for Parents and Children   Rhyming Picture Book),Diane Adams,(Illustrated   Children  ,English,45,TRUE
Bright Baby Touch & Feel Baby Animals (Bright Baby Touch and Feel),Roger Priddy,(Bright   Animals,English,93,TRUE
Dog Man: The Supa Epic Collection: From the Creator of Captain Underpants (Dog Man #1-6 Boxed Set),Dav Pilkey,Collection:   Underpants,English,427,TRUE
ABC's for Boys (Alphabet Book   Baby Book   Children's Book   Toddler Book),Michael Kracht,Children's   (Alphabet,English,0,TRUE
Polar Express 30th anniversary edition,Chris Van Allsburg,anniversary   Express,English,376,TRUE
Five Nights at Freddy's Fazbear Frights Four Book Boxed Set,Scott Cawthon,Freddy's   Fazbear,English,480,TRUE
Indescribable: 100 Devotions for Kids About God and Science (Indescribable Kids),Louie Giglio,(Indescribable   Indescribable:,English,96,TRUE
Just Between Us: Mother & Daughter: A No-Stress   No-Rules Journal (Activity Journal for Teen Girls and Moms   Diary for Tween Girls),Meredith Jacobs,No-Stress     Daughter:,English,870,FALSE
Tiny T. Rex and the Impossible Hug (Dinosaur Books   Dinosaur Books for Kids   Dinosaur Picture Books   Read Aloud Family Books   Books for Young Children),Jonathan Stutzman,Impossible   (Dinosaur,English,33,TRUE
An Elephant & Piggie Biggie Volume 2! (An Elephant and Piggie Book),Mo Willems,Elephant   Elephant,English,294,TRUE
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Underpants   Creator,English,679,FALSE
I Need a New Butt!,Dawn McMillan,Butt!   Need,English,90,TRUE
Anne of Green Gables   Complete 8-Book Box Set,L. M. Montgomery,Complete   Gables  ,English,768,FALSE
Nancy Drew Starter Set - Books 1-5,Carolyn Keene,Starter   Nancy,English,72,TRUE
School Zone - Numbers 0-25 Flash Cards - Ages 4 to 6   Preschool   Kindergarten   Math   Addition   Subtraction   Numerical Order   Counting   and More,School Zone,Kindergarten     Subtraction  ,English,120,TRUE
The Hiccupotamus,Aaron Zenz,Hiccupotamus   The,English,60,TRUE
Magic Tree House Boxed Set   Books 9-12: Dolphins at Daybreak   Ghost Town at Sundown   Lions at Lunchtime   and Polar Bears Past Bedtime,Mary Pope Osborne,Lunchtime     Daybreak  ,English,348,TRUE
Brain Quest Workbook: Kindergarten,Lisa Trumbauer,Kindergarten   Workbook:,English,5,TRUE
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss,Myself)   Fish,English,144,TRUE
Ivy and Bean's Treasure Box: (Beginning Chapter Books   Funny Books for Kids   Kids Book Series) (Ivy + Bean),Annie Barrows,(Beginning   Treasure,English,324,TRUE
Harry Potter and the Order of the Phoenix   Book 5,J.K. Rowling,Phoenix     Potter,English,36,TRUE
Harry Potter and the Goblet of Fire   Book 4,J.K. Rowling,Goblet   Potter,English,369,TRUE
Tracing For Toddlers: First Learn to Write workbook. Practice line tracing   pen control to trace and write ABC Letters   Numbers and Shapes (Big Letter Tracing for Preschoolers),Sujatha Lalgudi,Preschoolers)   Toddlers:,English,2,TRUE
Harry Potter and the Prisoner of Azkaban   Book 3,J.K. Rowling,Azkaban     Prisoner,English,783,FALSE
Amulet #1-8 Box Set,Kazu Kibuishi,Amulet   #1-8,English,632,TRUE
Rumple Buttercup: A Story of Bananas   Belonging   and Being Yourself,Matthew Gray Gubler,Belonging     Buttercup:,English,536,TRUE
Tracing Letters and Numbers : 200 Practice Pages: Workbook for Preschool   Kindergarten   and Kids Ages 3-5,Penman Ship,Kindergarten     Preschool  ,English,12,TRUE
My Fuzzy Valentine (Sesame Street),Naomi Kleinberg,Valentine   (Sesame,English,0,TRUE
Paint by Sticker: Dogs: Create 12 Stunning Images One Sticker at a Time!,Workman Publishing,Stunning   Sticker:,English,380,TRUE
Merriam-Webster Children's Dictionary   New Edition: Features 3  000 Photographs and Illustrations,DK,Merriam-Webster   Illustrations,English,372,TRUE
My Little Golden Book About Ruth Bader Ginsburg,Shana Corey,Ginsburg   Little,English,64,TRUE
The Tyrant's Tomb (The Trials of Apollo   Book Four) (Trials of Apollo   4),Rick Riordan,Tyrant's   Apollo  ,English,510,TRUE
Harry Potter and the Deathly Hallows   Book 7,J.K. Rowling,Hallows     Deathly,English,756,FALSE
Your Baby's First Word Will Be DADA,Jimmy Fallon,Baby's   First,English,77,TRUE
The Little Blue Box of Bright and Early Board Books by Dr. Seuss (Bright & Early Board Books(TM)),Dr. Seuss,Books(TM))   (Bright,English,0,TRUE
The Ramona Collection   Vol. 1: Beezus and Ramona / Ramona the Pest / Ramona the Brave / Ramona and Her Father [4 Book Box set],Beverly Cleary,Collection     Ramona,English,784,FALSE
Because of Winn-Dixie,Kate DiCamillo,Winn-Dixie   Because,English,90,TRUE
Everything Is Mama,Jimmy Fallon,Everything   Mama,English,77,TRUE
Number Tracing Book for Preschoolers and Kids Ages 3-5: Trace Numbers Practice Workbook for Pre K   Kindergarten and Kids Ages 3-5 (Math Activity Book),Modern Kid Press,Kindergarten   Preschoolers,English,50,TRUE
Love   Mom and Me: A Mother and Daughter Keepsake Journal,Katie Clemons,Keepsake   Daughter,English,91,TRUE
Awesome Kitchen Science Experiments for Kids: 50 STEAM Projects You Can Eat! (Awesome STEAM Activities for Kids),Megan Olivia Hall,Experiments   Activities,English,190,TRUE
The Color Monster: A Story About Emotions,Anna Llenas,Emotions   Monster:,English,12,TRUE
The Hunger Games: Special Edition,Suzanne Collins,Edition   Special,English,552,TRUE
Martin's Big Words: The Life of Dr. Martin Luther King   Jr. (A Big Words Book   1),Doreen Rappaport,Martin's   Words:,English,168,TRUE
Where Do Speedboats Sleep at Night?,Brianna Caplan Sayres,Speedboats   Night?,English,204,TRUE
Good Night Stories for Rebel Girls: 100 Tales of Extraordinary Women,Rebel Girls,Extraordinary   Stories,English,784,FALSE
Gravity Falls: Journal 3,Alex Hirsch,Journal   Gravity,English,576,TRUE
Pre-K Wipe-Clean Workbook: Scholastic Early Learners (Wipe-Clean),Scholastic,(Wipe-Clean)   Wipe-Clean,English,190,TRUE
Trials of Apollo   The 3-Book Paperback Boxed Set,Rick Riordan,Paperback   Apollo  ,English,510,TRUE
Paint by Sticker Kids: Dinosaurs: Create 10 Pictures One Sticker at a Time!,Workman Publishing,Dinosaurs:   Pictures,English,285,TRUE
The Last Kids on Earth: Next Level Monster Box (books 4-6),Max Brallier,Monster   Earth:,English,192,TRUE
I Can Do Hard Things: Mindful Affirmations for Kids,Gabi Garcia,Affirmations   Things:,English,94,TRUE
Out of My Mind,Sharon M. Draper,Mind   Out,English,530,TRUE
A Collection of Stories for 2 Year Olds,Parragon Books,Collection   Stories,English,0,TRUE
What Do You Do With an Idea? — New York Times best seller,Kobi Yamada,seller   Idea?,English,175,TRUE
Hogwarts Library (Harry Potter),J.K. Rowling,Hogwarts   Library,English,264,TRUE
Trapped in a Video Game: The Complete Series,Dustin Brady,Complete   Trapped,English,496,TRUE
Beginner Piano Lessons for Kids Book: with Online Video & Audio Access,Jay Wamsted,Beginner   Lessons,English,455,TRUE
School Zone - Big Kindergarten Workbook - Ages 5 to 6   Early Reading and Writing   Numbers 0-20   Basic Math   Matching   Story Order   and More (School Zone Big Workbook Series),School Zone,Kindergarten   Matching  ,English,244,TRUE
Little Blue Truck Leads the Way board book,Alice Schertle,Little   Truck,English,0,TRUE
How the Grinch Stole Christmas! (Classic Seuss),Dr. Seuss,Christmas!   (Classic,English,250,TRUE
50 Things To See With A Telescope - Kids: A Constellation Focused Approach,John A Read,Constellation   Telescope,English,525,TRUE
Jesus Loves Me Songbook (Early Bird Sound Books) (Little Sunbeams),Cottage Door Press,Sunbeams)   Songbook,English,76,TRUE
Brain Quest Workbook   Grade 2,Liane Onish,Workbook     Brain,English,91,TRUE
Harry Potter and the Half-Blood Prince   Book 6,J.K. Rowling,Half-Blood   Prince  ,English,252,TRUE
Zoey and Sassafras Books 1-6 Pack,Asia Citro,Sassafras   Books,English,246,TRUE
School Zone - Cut & Paste Skills Workbook - Ages 3 to 5   Preschool to Kindergarten   Scissor Cutting   Gluing   Stickers   Story Order   Counting   and More (School Zone Little Hand Helper™ Book Series),School Zone,Kindergarten     Preschool,English,70,TRUE
Unbroken (The Young Adult Adaptation): An Olympian's Journey from Airman to Castaway to Captive,Laura Hillenbrand,Adaptation):   Olympian's,English,660,FALSE
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,Meltdown   (Diary,English,776,FALSE
Totally Awesome Mazes and Puzzles: Over 200 Brain-bending Challenges,William Potter,Brain-bending   Challenges,English,426,TRUE
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Imagination   Unlock,English,469,TRUE
Youre The Biggest,Lucy Tapper,Biggest   Youre,English,58,TRUE
Before the Ever After,Jacqueline Woodson,Before   After,English,950,FALSE
The ABCs of Black History,Rio Cortez,History   Black,English,5,TRUE
I Am Every Good Thing,Derrick Barnes,Thing   Every,English,132,TRUE
Now You Are One (Little Bird Greetings),Minnie Birdsong,Greetings)   (Little,English,0,TRUE
School Zone - Preschool Basics Workbook - 64 Pages   Ages 3 to 5   Colors   Numbers   Counting   Matching   Classifying   Beginning Sounds   and More (School Zone Basics Workbook Series),School Zone,Classifying     Preschool,English,56,TRUE
Llama Llama Loves Camping,Anna Dewdney,Camping   Llama,English,196,TRUE
Paint by Sticker Kids: Christmas: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,Christmas:   Pictures,English,420,TRUE
The Complete Illustrated Children's Bible (The Complete Illustrated Children’s Bible Library),Janice Emmerson,Children’s   Illustrated,English,285,TRUE
Disney Frozen Elsa   Anna   Olaf   and More! - Me Reader Electronic Reader and 8-Sound Book Library – Great Alternative to Toys for Christmas - PI Kids,Editors of Phoenix International Publications,Alternative   Electronic,English,67,TRUE
The Story of Ruth Bader Ginsburg: A Biography Book for New Readers (The Story Of: A Biography Series for New Readers),Susan B. Katz,Biography   Ginsburg:,English,564,TRUE
Long Way Down,Jason Reynolds,Down   Long,English,336,TRUE
Harry Potter Coloring Book,Scholastic,Coloring   Potter,English,304,TRUE
Everything You Need to Ace Science in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Workman Publishing,Notebooks)   Everything,English,847,FALSE
Carson Dellosa Alphabet Flash Cards—Double-Sided   Uppercase and Lowercase Letter and Sound Recognition With Illustrations   Early Reading Comprehension Practice Set (54 pc),Brighter Child,Cards—Double-Sided     Illustrations  ,English,188,TRUE
Jokes for Kids: The Best Jokes   Riddles   Tongue Twisters   Knock-Knock jokes   and One liners for kids: Kids Joke books ages 7-9 8-12,Rob Stevens,Knock-Knock   Twisters  ,English,35,TRUE
You Have a Match: A Novel,Emma Lord,Match:   Novel,English,96,TRUE
Rowley Jefferson's Awesome Friendly Adventure,Jeff Kinney,Jefferson's   Adventure,English,512,TRUE
How Great Is Our God: 100 Indescribable Devotions About God and Science (Indescribable Kids),Louie Giglio,(Indescribable   Indescribable,English,294,TRUE
The Cat in the Hat,Dr. Seuss,Hat   The,English,261,TRUE
Dog Man: The Cat Kid Collection: From the Creator of Captain Underpants (Dog Man #4-6 Boxed Set),Dav Pilkey,Collection:   Underpants,English,350,TRUE
Guess How Much I Love You,Sam McBratney,Guess   Much,English,0,TRUE
Pete the Cat: I Love My White Shoes,James Dean,Shoes   White,English,0,TRUE
Fish in a Tree,Lynda Mullaly Hunt,Tree   Fish,English,510,TRUE
5 More Sleeps ‘til Christmas,Jimmy Fallon,Christmas   Sleeps,English,120,TRUE
Island of the Blue Dolphins,Scott O'Dell,Dolphins   Island,English,672,FALSE
School Zone - Addition & Subtraction Workbook - 64 Pages   Ages 6 to 8   1st & 2nd Grade Math   Place Value   Regrouping   Fact Tables   and More (School Zone I Know It! Workbook Series),School Zone,Regrouping     Subtraction,English,180,TRUE
Maybe: A Story About the Endless Potential in All of Us,Kobi Yamada,Potential   Endless,English,128,TRUE
Unicorn Academy: Rainbow of Adventure Boxed Set (Books 1-4),Julie Sykes,Adventure   Academy:,English,252,TRUE
NIV   Adventure Bible   Hardcover   Full Color,Zondervan,Hardcover     Adventure,English,672,FALSE
An Elephant & Piggie Biggie! Volume 3 (An Elephant and Piggie Book),Mo Willems,Elephant   Elephant,English,360,TRUE
The Story of Martin Luther King Jr.: A Biography Book for New Readers (The Story Of: A Biography Series for New Readers),Christine Platt,Biography   Biography,English,276,TRUE
World of Eric Carle   My First Library Board Book Block 12-Book Set - PI Kids,Editors of Phoenix International Publications,12-Book   Library,English,0,TRUE
Preschool Cutting and Pasting (Highlights Learn on the Go Practice Pads),Highlights Learning,(Highlights   Preschool,English,228,TRUE
The Unofficial Ultimate Harry Potter Spellbook: A complete reference guide to every spell in the wizarding world (The Unofficial Harry Potter Reference Library),Media Lab Books,Unofficial   Unofficial,English,552,TRUE
The Couch Potato,Jory John,Potato   Couch,English,84,TRUE
Blackbird (Five Nights at Freddy's: Fazbear Frights #6) (6),Scott Cawthon,Freddy's:   Blackbird,English,876,FALSE
Disney Moana - I Am Moana Little Sound Book - PI Kids (Disney Moana: Play-A-Sound),Editors of Phoenix International Publications,Play-A-Sound)   (Disney,English,0,TRUE
The Grinny Granny Donkey,Craig Smith,Donkey   Grinny,English,111,TRUE
Social Skills Activities for Kids: 50 Fun Exercises for Making Friends   Talking and Listening   and Understanding Social Rules,Natasha Daniels,Understanding   Activities,English,330,TRUE
Are You My Mother ?,P.D. Eastman,Mother   Are,English,249,TRUE
The Twilight Saga White Collection,Stephenie Meyer,Collection   Twilight,English,300,TRUE
The Babies and Kitties Book,John Schindel,Kitties   Babies,English,0,TRUE
Pop-up Peekaboo! I Love You,DK,Peekaboo!   Pop-up,English,76,TRUE
1000 Stickers: 1000 Stickers (Sticker Activity Fun),Roger Priddy,Stickers:   Stickers,English,264,TRUE
The Drawing Book for Kids: 365 Daily Things to Draw   Step by Step (Woo! Jr. Kids Activities Books),Woo! Jr. Kids Activities,Activities   Drawing,English,165,TRUE
My First Touch and Feel Picture Cards: First Words (My 1st T&F Picture Cards),DK,Picture   Picture,English,95,TRUE
5  000 Awesome Facts (About Everything!) (National Geographic Kids),National Geographic Kids,Everything!)   Geographic,English,144,TRUE
Scribble Stones,Diane Alber,Scribble   Stones,English,44,TRUE
Everything You Need to Ace American History in One Big Fat Notebook: The Complete Middle School Study Guide (Big Fat Notebooks),Workman Publishing,Notebooks)   Everything,English,187,TRUE
Six of Crows (Six of Crows   1),Leigh Bardugo,Crows     Crows,English,12,TRUE
Bud   Not Buddy,Christopher Paul Curtis,Buddy   Bud  ,English,680,FALSE
Just Go to Bed (Little Critter) (Pictureback(R)),Mercer Mayer,(Pictureback(R))   Critter),English,153,TRUE
Freddie The Farting Snowman: A Funny Read Aloud Picture Book For Kids And Adults About Snowmen Farts and Toots (Toots and Farts),Jane Bexley,Snowman:   Freddie,English,12,TRUE
When Stars Are Scattered,Victoria Jamieson,Scattered   Stars,English,621,TRUE
I Have a Dream (Book & CD),Martin Luther Dr. King Jr.,(Book   Dream,English,164,TRUE
Princeton Review AP World History: Modern Premium Prep   2021: 6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation),The Princeton Review,Preparation)   Strategies,English,86,TRUE
Paw Patrol - I'm Ready To Read with Chase Sound Book - Play-a-Sound - PI Kids,Editors of Phoenix International Publications,Play-a-Sound   Patrol,English,30,TRUE
Awesome Engineering Activities for Kids: 50+ Exciting STEAM Projects to Design and Build (Awesome STEAM Activities for Kids),Christina Schul,Engineering   Activities,English,395,TRUE
Star Wars Mad Libs,Roger Price,Libs   Star,English,144,TRUE
Strictly No Elephants,Lisa Mantchev,Elephants   Strictly,English,340,TRUE
The Wild Robot (The Wild Robot   1),Peter Brown,Robot     Robot,English,208,TRUE
Who's in the Ocean? (Poke-a-Dot!),Melissa & Doug Llc,(Poke-a-Dot!)   Ocean?,English,235,TRUE
Brain Quest Workbook: Grade 1,Lisa Trumbauer,Workbook:   Brain,English,162,TRUE
365 Bedtime Stories and Rhymes,Cottage Door Press,Stories   Bedtime,English,28,TRUE
Over and Under the Snow,Kate Messner,Under   Over,English,490,TRUE
Jumbo Book of Hidden Pictures® (Highlights Jumbo Books & Pads),Highlights,(Highlights   Pictures®,English,144,TRUE
Anxiety Relief for Teens: Essential CBT Skills and Mindfulness Practices to Overcome Anxiety and Stress,Regine Galanti PhD,Mindfulness   Essential,English,744,FALSE
Magnus Chase and the Gods of Asgard Paperback Boxed Set,Rick Riordan,Paperback   Magnus,English,820,FALSE
Ada Twist   Scientist,Andrea Beaty,Scientist   Twist  ,English,105,TRUE
Harry Potter Complete Book Series Special Edition Boxed Set,J.K. Rowling,Complete   Special,English,344,TRUE
Don't Push the Button! An Easter Surprise: (Easter Board Book   Interactive Books For Toddlers   Childrens Easter Books Ages 1-3),Bill Cotter,Interactive   Surprise:,English,19,TRUE
Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,Erin Hunter,Warriors:   Prophecy,English,488,TRUE
Brain Games - Sticker by Letter: In the Wild (Sticker Puzzles - Kids Activity Book),Publications International Ltd.,Activity   (Sticker,English,170,TRUE
Brain Quest Workbook: Grade 3,Janet A. Meyer,Workbook:   Brain,English,56,TRUE
Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,Lift-the-Flap   Button?,English,94,TRUE
Dog Heaven,Cynthia Rylant,Heaven   Dog,English,83,TRUE
Eyelike Stickers: Animals,Workman Publishing,Stickers:   Eyelike,English,364,TRUE
Judy Blume's Fudge Box Set,Judy Blume,Blume's   Fudge,English,609,TRUE
A Baby's Gift,Margaret Wise Brown,Baby's   Gift,English,0,TRUE
Guts,Raina Telgemeier,Guts,English,48,TRUE
Everyone Poops,Taro Gomi,Everyone   Poops,English,0,TRUE
Spy School Revolution,Stuart Gibbs,Revolution   School,English,88,TRUE
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,Absolutely   Part-Time,English,696,FALSE
School Zone - Get Ready Flash Cards Addition & Subtraction 2 Pack - Ages 6 to 7   1st Grade   2nd Grade   Addition   Subtraction   Early Math   Problem-Solving   and More,School Zone,Problem-Solving     Subtraction  ,English,480,TRUE
Magic Tree House Boxed Set   Books 1-28,Mary Pope Osborne,Books   Magic,English,180,TRUE
Llama Llama Red Pajama,Anna Dewdney,Pajama   Llama,English,68,TRUE
Star Wars The High Republic: The Great Jedi Rescue,Cavan Scott,Republic:   Rescue,English,105,TRUE
Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults   mindfulness coloring),Johanna Basford,mindfulness   coloring),English,104,TRUE
Wild Animals: A Touch and Feel Book - Children's Board Book - Educational,Little Hippo Books,Educational   Children's,English,34,TRUE
We're Different   We're the Same (Sesame Street) (Pictureback(R)),Joe Mathieu,(Pictureback(R))   Different  ,English,96,TRUE
The Monster at the End of This Book,Jon Stone,Monster   This,English,225,TRUE
This Is the Way (Star Wars: The Mandalorian) (Little Golden Book),Golden Books,Mandalorian)   (Little,English,120,TRUE
The Complete Adventures of the Borrowers,Mary Norton,Adventures   Borrowers,English,320,TRUE
PAW Patrol 5-Minute Stories Collection (PAW Patrol),Random House,Collection   5-Minute,English,24,TRUE
Day It Rained Hearts,Felicia Bond,Hearts   Rained,English,376,TRUE
Little Critter: Happy Valentine's Day   Little Critter!,Mercer Mayer,Valentine's   Critter:,English,52,TRUE
Good Night Stories for Rebel Girls: 100 Immigrant Women Who Changed the World,Rebel Girls,Immigrant   Stories,English,144,TRUE
Exploring Nature Activity Book for Kids: 50 Creative Projects to Spark Curiosity in the Outdoors,Kim Andrews,Curiosity   Exploring,English,170,TRUE
Sulwe,Vashti Harrison,Sulwe,English,8,TRUE
Restart,Gordon Korman,Restart,English,256,TRUE
The Lion   the Witch and the Wardrobe (The Chronicles of Narnia),C. S. Lewis,Chronicles   Wardrobe,English,568,TRUE
Rosie Revere   Engineer,Andrea Beaty,Engineer   Revere  ,English,120,TRUE
Bug Soup,Vince Cleghorne,Soup   Bug,English,0,TRUE
Barnyard Dance! (Boynton on Board),Sandra Boynton,(Boynton   Barnyard,English,8,TRUE
Love Monster,Rachel Bright,Monster   Love,English,90,TRUE
The Night Before Christmas Hardcover: The Classic Edition   The New York Times Bestseller,Clement Moore,Bestseller   Hardcover:,English,15,TRUE
Paint by Sticker Masterpieces: Re-create 12 Iconic Artworks One Sticker at a Time!,Workman Publishing,Masterpieces:   Re-create,English,1,TRUE
Right Now: I Am Fine,Daniela Owen,Right   Now:,English,372,TRUE
The Hive Queen (Wings of Fire   Book 12),Tui T. Sutherland,(Wings   Queen,English,760,FALSE
The Last Kids on Earth and the Skeleton Road,Max Brallier,Skeleton   Earth,English,680,FALSE
Dinosaur Coloring Book for Kids: Great Gift for Boys & Girls   Ages 4-8,Two Hoots Coloring,Coloring   Dinosaur,English,13,TRUE
Paint by Sticker: Create 12 Masterpieces One Sticker at a Time!,Workman Publishing,Masterpieces   Sticker:,English,89,TRUE
Disney Minnie Mouse - I'm Ready to Read with Minnie Sound Book - Great Alternative to Toys for Christmas - PI Kids (Play-A-Sound),Editors of Phoenix International Publications,(Play-A-Sound)   Alternative,English,24,TRUE
Poke-a-dot: Wheels on the Bus Wild Safari,Melissa & Doug,Poke-a-dot:   Wheels,English,45,TRUE
We Are Water Protectors,Carole Lindstrom,Protectors   Water,English,288,TRUE
The Bad Guys in the Dawn of the Underlord (The Bad Guys #11),Aaron Blabey,Underlord   Guys,English,644,TRUE
The Darkest Minds Series Boxed Set [4-Book Paperback Boxed Set] (A Darkest Minds Novel),Alexandra Bracken,Paperback   Darkest,English,288,TRUE
The New Baby,Mercer Mayer,Baby   The,English,249,TRUE
Classic Chapter Book Collection (Pokémon) (15),S.E. Heller,(Pokémon)   Collection,English,644,TRUE
Harry Potter and the Cursed Child   Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,Production   Playscript,English,430,TRUE
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,Geographic   Geographic,English,72,TRUE
The Madre de Aguas of Cuba (The Unicorn Rescue Society),Adam Gidwitz,Society)   Unicorn,English,350,TRUE
Baby Touch and Feel: Animals,DK,Animals   Touch,English,0,TRUE
Night Night Farm,Roger Priddy,Night   Night,English,91,TRUE
My Book of Rocks and Minerals: Things to Find   Collect   and Treasure,Devin Dennie,Minerals:   Collect  ,English,198,TRUE
Sesame Street - Potty Time with Elmo - Potty Training Sound Book - PI Kids,Editors of Phoenix International Publications,Training   Sesame,English,0,TRUE
Preschool Big Fun Workbook (Highlights™ Big Fun Activity Workbooks),Highlights Learning,(Highlights™   Workbooks),English,279,TRUE
The Biggest Valentine Ever,Steven Kroll,Valentine   Biggest,English,165,TRUE
The Heroes of Olympus Hardcover Boxed Set,Rick Riordan,Hardcover   Olympus,English,620,TRUE
I Love You   Baby Shark: Doo Doo Doo Doo Doo Doo (A Baby Shark Book),John John Bajet,Shark:   Shark,English,240,TRUE
The Lost Heir (Wings of Fire Graphic Novel),Tui T. Sutherland,Graphic   (Wings,English,632,TRUE
It's Perfectly Normal: Changing Bodies   Growing Up   Sex   and Sexual Health (The Family Library),Robie H. Harris,Perfectly   Changing,English,490,TRUE
Paint by Sticker Kids: Beautiful Bugs: Create 10 Pictures One Sticker at a Time! (Kids Activity Book   Sticker Art   No Mess Activity   Keep Kids Busy),Workman Publishing,Activity     Beautiful,English,325,TRUE
National Geographic Little Kids First Big Book of Dinosaurs (National Geographic Little Kids First Big Books),Catherine D. Hughes,Geographic   Geographic,English,260,TRUE
The Day You Begin,Jacqueline Woodson,Begin   The,English,35,TRUE
Charlie and the Chocolate Factory,Roald Dahl,Chocolate   Charlie,English,280,TRUE
Dog Training for Kids: Fun and Easy Ways to Care for Your Furry Friend,Vanessa Estrada Marin,Training   Friend,English,720,FALSE
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,Quintet)   Wrinkle,English,480,TRUE
Dino Potty-Engaging Illustrations and Fun   Step-by-Step Rhyming Instructions get Little Ones Excited to Use the Potty on their Own!,Rainstorm Publishing,Potty-Engaging   Illustrations,English,4,TRUE
I Love You   Little Pookie,Sandra Boynton,Pookie   Little,English,0,TRUE
Workman Publishing Everything You Need to Ace English Language Arts in One Big Fat Notebook (Big Fat Notebooks),Workman Publishing,Notebooks)   Publishing,English,946,FALSE
The Getaway (Diary of a Wimpy Kid Book 12),Jeff Kinney,Getaway   (Diary,English,744,FALSE
The Lost Continent (Wings of Fire   Book 11) (11),Tui T. Sutherland,Continent   (Wings,English,288,TRUE
Handwriting Practice Paper: 100 Blank Writing Pages - For Students Learning to Write Letters,Penman Ship,Handwriting   Practice,English,240,TRUE
